"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"06/26/2024,""846.07"",""846.07"",""846.86"",""841.05"","""",""0.60%"""
"06/25/2024,""841.05"",""841.05"",""845.45"",""836.91"","""",""-0.01%"""
"06/24/2024,""841.12"",""841.12"",""849.28"",""840.65"","""",""-0.93%"""
"06/21/2024,""848.99"",""848.99"",""853.13"",""847.79"","""",""-0.35%"""
"06/20/2024,""851.93"",""851.93"",""853.63"",""847.22"","""",""0.06%"""
"06/19/2024,""851.41"",""851.41"",""856.08"",""848.43"","""",""0.35%"""
"06/18/2024,""848.43"",""848.43"",""854.05"",""845.21"","""",""-0.44%"""
"06/17/2024,""852.14"",""852.14"",""858.05"",""849.37"","""",""-0.12%"""
"06/14/2024,""853.13"",""853.13"",""857.79"",""850.27"","""",""-0.18%"""
"06/13/2024,""854.66"",""854.66"",""855.91"",""848.02"","""",""-0.13%"""
"06/12/2024,""855.79"",""855.79"",""864.00"",""855.64"","""",""-0.28%"""
"06/11/2024,""858.23"",""858.23"",""862.57"",""855.63"","""",""0.30%"""
"06/10/2024,""855.63"",""855.63"",""862.39"",""853.60"","""",""-0.74%"""
"06/07/2024,""862.00"",""862.00"",""865.04"",""857.50"","""",""-0.35%"""
"06/06/2024,""865.04"",""865.04"",""866.56"",""856.73"","""",""0.09%"""
"06/05/2024,""864.27"",""864.27"",""866.81"",""862.13"","""",""-0.15%"""
"06/04/2024,""865.54"",""865.54"",""868.25"",""857.05"","""",""0.01%"""
"06/03/2024,""865.44"",""865.44"",""870.70"",""862.25"","""",""0.01%"""
"05/31/2024,""865.39"",""865.39"",""869.69"",""861.94"","""",""0.21%"""
"05/30/2024,""863.60"",""863.60"",""867.62"",""859.35"","""",""-0.35%"""
"05/29/2024,""866.59"",""866.59"",""869.47"",""864.74"","""",""-0.03%"""
"05/28/2024,""866.82"",""866.82"",""868.42"",""863.53"","""",""0.04%"""
"05/27/2024,""866.50"",""866.50"",""872.19"",""865.16"","""",""0.01%"""
"05/23/2024,""866.45"",""866.45"",""870.06"",""864.08"","""",""-0.19%"""
"05/22/2024,""868.11"",""868.11"",""873.68"",""862.66"","""",""-0.36%"""
"05/21/2024,""871.29"",""871.29"",""872.94"",""863.01"","""",""0.96%"""
"05/20/2024,""863.01"",""863.01"",""864.21"",""847.77"","""",""0.82%"""
"05/17/2024,""855.96"",""855.96"",""857.26"",""849.40"","""",""0.77%"""
"05/16/2024,""849.40"",""849.40"",""850.65"",""845.74"","""",""0.37%"""
"05/15/2024,""846.30"",""846.30"",""853.19"",""846.04"","""",""-0.33%"""
"05/14/2024,""849.12"",""849.12"",""850.94"",""838.79"","""",""1.23%"""
"05/13/2024,""838.79"",""838.79"",""840.42"",""834.32"","""",""0.10%"""
"05/10/2024,""837.99"",""837.99"",""838.59"",""831.93"","""",""0.61%"""
"05/09/2024,""832.94"",""832.94"",""833.19"",""824.82"","""",""0.46%"""
"05/08/2024,""829.14"",""829.14"",""831.00"",""822.60"","""",""0.74%"""
"05/07/2024,""823.08"",""823.08"",""823.08"",""813.65"","""",""1.16%"""
"05/06/2024,""813.65"",""813.65"",""815.86"",""808.89"","""",""0.00%"""
"05/02/2024,""813.65"",""813.65"",""815.86"",""808.89"","""",""0.01%"""
"04/30/2024,""813.54"",""813.54"",""817.43"",""813.54"","""",""-0.09%"""
"04/29/2024,""814.25"",""814.25"",""818.69"",""806.45"","""",""-0.53%"""
"04/26/2024,""818.59"",""818.59"",""819.37"",""813.15"","""",""0.41%"""
"04/25/2024,""815.26"",""815.26"",""818.10"",""814.04"","""",""-0.21%"""
"04/24/2024,""816.99"",""816.99"",""817.27"",""803.07"","""",""1.48%"""
"04/23/2024,""805.04"",""805.04"",""807.29"",""801.43"","""",""-0.18%"""
"04/22/2024,""806.46"",""806.46"",""806.66"",""799.21"","""",""0.06%"""
"04/19/2024,""805.96"",""805.96"",""808.57"",""805.26"","""",""-0.16%"""
"04/18/2024,""807.23"",""807.23"",""808.79"",""803.68"","""",""0.23%"""
"04/17/2024,""805.34"",""805.34"",""807.18"",""803.38"","""",""-0.05%"""
"04/16/2024,""805.73"",""805.73"",""810.93"",""805.02"","""",""-0.60%"""
"04/15/2024,""810.58"",""810.58"",""810.88"",""803.80"","""",""0.09%"""
"04/12/2024,""809.86"",""809.86"",""812.78"",""808.46"","""",""-0.24%"""
"04/11/2024,""811.83"",""811.83"",""812.42"",""804.61"","""",""0.76%"""
"04/10/2024,""805.67"",""805.67"",""806.17"",""801.37"","""",""0.54%"""
"04/09/2024,""801.37"",""801.37"",""801.67"",""798.09"","""",""0.39%"""
"04/08/2024,""798.26"",""798.26"",""804.99"",""797.26"","""",""-0.10%"""
"04/05/2024,""799.05"",""799.05"",""800.17"",""796.31"","""",""0.06%"""
"04/04/2024,""798.58"",""798.58"",""808.40"",""797.44"","""",""-1.21%"""
"04/03/2024,""808.40"",""808.40"",""811.20"",""803.82"","""",""0.09%"""
"04/02/2024,""807.70"",""807.70"",""809.22"",""804.50"","""",""0.03%"""
"03/28/2024,""807.47"",""807.47"",""808.49"",""800.83"","""",""0.49%"""
"03/27/2024,""803.52"",""803.52"",""807.04"",""802.81"","""",""-0.12%"""
"03/26/2024,""804.48"",""804.48"",""807.86"",""803.16"","""",""-0.13%"""
"03/25/2024,""805.51"",""805.51"",""807.59"",""803.49"","""",""-0.06%"""
"03/22/2024,""806.02"",""806.02"",""811.34"",""805.63"","""",""-0.62%"""
"03/21/2024,""811.02"",""811.02"",""811.89"",""804.79"","""",""-0.04%"""
"03/20/2024,""811.35"",""811.35"",""814.15"",""809.24"","""",""0.26%"""
"03/19/2024,""809.24"",""809.24"",""814.40"",""809.24"","""",""-0.63%"""
"03/18/2024,""814.40"",""814.40"",""818.65"",""810.59"","""",""0.07%"""
"03/15/2024,""813.82"",""813.82"",""816.03"",""810.52"","""",""0.02%"""
"03/14/2024,""813.62"",""813.62"",""815.87"",""808.68"","""",""0.52%"""
"03/13/2024,""809.41"",""809.41"",""811.85"",""807.26"","""",""-0.09%"""
"03/12/2024,""810.13"",""810.13"",""813.81"",""806.52"","""",""-0.45%"""
"03/11/2024,""813.81"",""813.81"",""817.61"",""803.00"","""",""1.35%"""
"03/08/2024,""803.00"",""803.00"",""804.14"",""794.63"","""",""0.72%"""
"03/07/2024,""797.24"",""797.24"",""802.00"",""793.09"","""",""-0.43%"""
"03/06/2024,""800.72"",""800.72"",""800.72"",""794.35"","""",""0.80%"""
"03/05/2024,""794.35"",""794.35"",""796.71"",""792.54"","""",""0.15%"""
"03/01/2024,""793.16"",""793.16"",""793.16"",""788.35"","""",""0.60%"""
"02/29/2024,""788.42"",""788.42"",""788.42"",""781.68"","""",""0.56%"""
"02/28/2024,""784.03"",""784.03"",""784.84"",""780.58"","""",""0.08%"""
"02/27/2024,""783.41"",""783.41"",""787.25"",""782.95"","""",""-0.21%"""
"02/26/2024,""785.07"",""785.07"",""786.05"",""784.52"","""",""-0.05%"""
"02/23/2024,""785.45"",""785.45"",""785.88"",""783.09"","""",""0.08%"""
"02/22/2024,""784.84"",""784.84"",""786.71"",""780.01"","""",""0.62%"""
"02/21/2024,""780.01"",""780.01"",""781.61"",""776.78"","""",""-0.14%"""
"02/20/2024,""781.07"",""781.07"",""782.73"",""778.26"","""",""-0.08%"""
"02/19/2024,""781.73"",""781.73"",""786.73"",""778.21"","""",""-0.46%"""
"02/16/2024,""785.36"",""785.36"",""786.84"",""779.57"","""",""0.60%"""
"02/15/2024,""780.69"",""780.69"",""787.02"",""779.02"","""",""-0.57%"""
"02/14/2024,""785.20"",""785.20"",""786.98"",""779.64"","""",""0.66%"""
"02/13/2024,""780.02"",""780.02"",""783.86"",""778.26"","""",""-0.22%"""
"02/12/2024,""781.76"",""781.76"",""783.08"",""778.89"","""",""0.09%"""
"02/09/2024,""781.02"",""781.02"",""781.89"",""778.46"","""",""-0.04%"""
"02/08/2024,""781.32"",""781.32"",""783.77"",""780.39"","""",""-0.07%"""
"02/07/2024,""781.87"",""781.87"",""783.12"",""777.59"","""",""0.52%"""
"02/06/2024,""777.84"",""777.84"",""780.70"",""775.54"","""",""-0.15%"""
"02/05/2024,""778.98"",""778.98"",""781.49"",""778.55"","""",""-0.13%"""
"02/02/2024,""779.96"",""779.96"",""783.52"",""776.84"","""",""-0.45%"""
"02/01/2024,""783.52"",""783.52"",""787.83"",""780.59"","""",""-0.40%"""
"01/31/2024,""786.68"",""786.68"",""787.71"",""780.50"","""",""-0.13%"""
"01/30/2024,""787.71"",""787.71"",""791.95"",""785.09"","""",""-0.26%"""
"01/29/2024,""789.80"",""789.80"",""790.76"",""785.61"","""",""0.26%"""
"01/26/2024,""787.72"",""787.72"",""787.72"",""777.79"","""",""0.72%"""
"01/25/2024,""782.07"",""782.07"",""787.29"",""775.75"","""",""-0.21%"""
"01/24/2024,""783.72"",""783.72"",""786.27"",""771.47"","""",""0.71%"""
"01/23/2024,""778.21"",""778.21"",""788.32"",""777.43"","""",""-0.46%"""
"01/22/2024,""781.82"",""781.82"",""791.48"",""781.82"","""",""-0.14%"""
"01/19/2024,""782.93"",""782.93"",""783.40"",""773.10"","""",""0.73%"""
"01/18/2024,""777.23"",""777.23"",""777.47"",""771.38"","""",""0.45%"""
"01/17/2024,""773.78"",""773.78"",""775.98"",""772.70"","""",""-0.10%"""
"01/16/2024,""774.57"",""774.57"",""776.84"",""771.04"","""",""0.21%"""
"01/15/2024,""772.96"",""772.96"",""778.68"",""772.65"","""",""-0.59%"""
"01/12/2024,""777.54"",""777.54"",""777.54"",""766.70"","""",""1.01%"""
"01/11/2024,""769.78"",""769.78"",""769.78"",""759.25"","""",""0.81%"""
"01/10/2024,""763.63"",""763.63"",""767.21"",""760.58"","""",""-0.47%"""
"01/09/2024,""767.21"",""767.21"",""767.21"",""758.05"","""",""1.14%"""
"01/08/2024,""758.55"",""758.55"",""767.52"",""749.22"","""",""-1.08%"""
"01/05/2024,""766.84"",""766.84"",""768.93"",""759.19"","""",""0.30%"""
"01/04/2024,""764.52"",""764.52"",""767.08"",""755.85"","""",""0.89%"""
"01/03/2024,""757.78"",""757.78"",""768.87"",""757.49"","""",""-1.44%"""
"01/02/2024,""768.87"",""768.87"",""773.16"",""764.98"","""",""0.49%"""
"12/29/2023,""765.12"",""765.12"",""765.12"",""741.12"","""",""3.10%"""
"12/28/2023,""742.09"",""742.09"",""742.95"",""740.31"","""",""0.15%"""
"12/26/2023,""740.97"",""740.97"",""742.51"",""737.26"","""",""0.00%"""
"12/22/2023,""740.97"",""740.97"",""742.51"",""737.26"","""",""0.03%"""
"12/21/2023,""740.77"",""740.77"",""743.97"",""735.33"","""",""-0.20%"""
"12/20/2023,""742.27"",""742.27"",""745.06"",""738.61"","""",""-0.32%"""
"12/19/2023,""744.68"",""744.68"",""745.00"",""737.33"","""",""0.11%"""
"12/18/2023,""743.83"",""743.83"",""749.51"",""741.52"","""",""-0.20%"""
"12/15/2023,""745.32"",""745.32"",""748.21"",""740.97"","""",""-0.39%"""
"12/14/2023,""748.21"",""748.21"",""759.17"",""746.87"","""",""-1.44%"""
"12/13/2023,""759.17"",""759.17"",""759.29"",""751.66"","""",""0.48%"""
"12/12/2023,""755.51"",""755.51"",""756.47"",""754.68"","""",""-0.11%"""
"12/11/2023,""756.33"",""756.33"",""760.55"",""753.72"","""",""0.04%"""
"12/08/2023,""755.99"",""755.99"",""759.90"",""750.82"","""",""-0.43%"""
"12/07/2023,""759.25"",""759.25"",""761.91"",""754.20"","""",""0.36%"""
"12/06/2023,""756.56"",""756.56"",""756.56"",""749.80"","""",""0.87%"""
"12/05/2023,""750.04"",""750.04"",""750.47"",""746.75"","""",""0.19%"""
"12/04/2023,""748.61"",""748.61"",""748.61"",""743.87"","""",""0.35%"""
"12/01/2023,""745.97"",""745.97"",""747.21"",""745.18"","""",""-0.03%"""
"11/30/2023,""746.23"",""746.23"",""746.23"",""742.36"","""",""0.49%"""
"11/29/2023,""742.57"",""742.57"",""747.37"",""741.48"","""",""-0.54%"""
"11/28/2023,""746.58"",""746.58"",""746.74"",""741.25"","""",""0.71%"""
"11/27/2023,""741.34"",""741.34"",""749.78"",""739.88"","""",""-0.99%"""
"11/24/2023,""748.79"",""748.79"",""749.27"",""737.63"","""",""0.34%"""
"11/23/2023,""746.24"",""746.24"",""746.24"",""737.18"","""",""0.75%"""
"11/22/2023,""740.72"",""740.72"",""741.47"",""734.36"","""",""0.44%"""
"11/21/2023,""737.46"",""737.46"",""746.53"",""737.46"","""",""-1.21%"""
"11/20/2023,""746.53"",""746.53"",""750.05"",""744.67"","""",""-0.30%"""
"11/17/2023,""748.78"",""748.78"",""750.23"",""745.86"","""",""0.06%"""
"11/16/2023,""748.33"",""748.33"",""748.71"",""741.54"","""",""-0.05%"""
"11/15/2023,""748.71"",""748.71"",""748.98"",""744.98"","""",""0.03%"""
"11/14/2023,""748.52"",""748.52"",""750.02"",""746.28"","""",""0.15%"""
"11/13/2023,""747.37"",""747.37"",""747.37"",""740.39"","""",""0.70%"""
"11/10/2023,""742.21"",""742.21"",""744.52"",""741.77"","""",""-0.08%"""
"11/09/2023,""742.79"",""742.79"",""745.91"",""742.42"","""",""-0.41%"""
"11/08/2023,""745.84"",""745.84"",""746.67"",""740.11"","""",""-0.11%"""
"11/07/2023,""746.67"",""746.67"",""753.04"",""743.45"","""",""-0.81%"""
"11/06/2023,""752.78"",""752.78"",""752.85"",""741.41"","""",""1.03%"""
"11/03/2023,""745.07"",""745.07"",""748.46"",""739.88"","""",""-0.25%"""
"11/02/2023,""746.91"",""746.91"",""747.00"",""744.95"","""",""-0.01%"""
"11/01/2023,""747.00"",""747.00"",""747.09"",""742.72"","""",""0.00%"""
"10/31/2023,""747.00"",""747.00"",""749.67"",""744.92"","""",""-0.11%"""
"10/30/2023,""747.86"",""747.86"",""748.14"",""743.84"","""",""0.11%"""
"10/27/2023,""747.05"",""747.05"",""747.05"",""740.63"","""",""0.22%"""
"10/26/2023,""745.40"",""745.40"",""746.93"",""741.95"","""",""0.37%"""
"10/25/2023,""742.64"",""742.64"",""743.32"",""741.04"","""",""0.05%"""
"10/24/2023,""742.27"",""742.27"",""742.27"",""735.91"","""",""0.31%"""
"10/23/2023,""740.00"",""740.00"",""741.92"",""734.12"","""",""-0.26%"""
"10/20/2023,""741.92"",""741.92"",""750.20"",""741.23"","""",""-1.10%"""
"10/19/2023,""750.20"",""750.20"",""754.16"",""747.02"","""",""-0.31%"""
"10/18/2023,""752.53"",""752.53"",""755.11"",""742.04"","""",""0.38%"""
"10/17/2023,""749.65"",""749.65"",""754.12"",""745.21"","""",""0.18%"""
"10/16/2023,""748.29"",""748.29"",""751.12"",""745.92"","""",""-0.28%"""
"10/13/2023,""750.41"",""750.41"",""754.59"",""750.41"","""",""-0.32%"""
"10/12/2023,""752.83"",""752.83"",""753.29"",""748.26"","""",""0.13%"""
"10/11/2023,""751.89"",""751.89"",""753.88"",""748.11"","""",""-0.20%"""
"10/10/2023,""753.40"",""753.40"",""759.72"",""749.18"","""",""-0.31%"""
"10/09/2023,""755.71"",""755.71"",""757.24"",""749.10"","""",""0.34%"""
"10/06/2023,""753.13"",""753.13"",""756.12"",""750.73"","""",""-0.06%"""
"10/05/2023,""753.57"",""753.57"",""756.42"",""751.77"","""",""0.24%"""
"10/04/2023,""751.77"",""751.77"",""756.52"",""746.24"","""",""0.53%"""
"10/03/2023,""747.79"",""747.79"",""748.80"",""742.66"","""",""-0.13%"""
"10/02/2023,""748.73"",""748.73"",""755.97"",""744.82"","""",""-0.93%"""
"09/29/2023,""755.73"",""755.73"",""755.80"",""750.68"","""",""0.07%"""
"09/28/2023,""755.18"",""755.18"",""755.49"",""742.97"","""",""1.53%"""
"09/27/2023,""743.79"",""743.79"",""744.37"",""740.30"","""",""0.03%"""
"09/26/2023,""743.56"",""743.56"",""744.16"",""741.23"","""",""0.24%"""
"09/25/2023,""741.81"",""741.81"",""741.99"",""735.94"","""",""0.09%"""
"09/21/2023,""741.15"",""741.15"",""741.92"",""729.52"","""",""0.15%"""
"09/20/2023,""740.06"",""740.06"",""740.06"",""733.20"","""",""0.91%"""
"09/19/2023,""733.39"",""733.39"",""740.97"",""730.77"","""",""-1.02%"""
"09/18/2023,""740.97"",""740.97"",""746.11"",""738.04"","""",""-0.65%"""
"09/15/2023,""745.82"",""745.82"",""752.26"",""738.48"","""",""-0.82%"""
"09/14/2023,""751.96"",""751.96"",""754.14"",""747.97"","""",""-0.19%"""
"09/13/2023,""753.37"",""753.37"",""757.54"",""750.61"","""",""-0.30%"""
"09/12/2023,""755.65"",""755.65"",""756.18"",""753.23"","""",""0.08%"""
"09/11/2023,""755.03"",""755.03"",""756.68"",""749.32"","""",""-0.22%"""
"09/08/2023,""756.68"",""756.68"",""757.88"",""754.50"","""",""0.03%"""
"09/07/2023,""756.46"",""756.46"",""756.54"",""743.52"","""",""1.41%"""
"09/05/2023,""745.93"",""745.93"",""752.26"",""726.88"","""",""-0.84%"""
"09/04/2023,""752.26"",""752.26"",""758.33"",""750.51"","""",""-0.80%"""
"09/01/2023,""758.33"",""758.33"",""759.62"",""754.44"","""",""0.35%"""
"08/31/2023,""755.65"",""755.65"",""760.65"",""751.74"","""",""-0.29%"""
"08/30/2023,""757.88"",""757.88"",""758.47"",""752.63"","""",""0.70%"""
"08/29/2023,""752.63"",""752.63"",""753.02"",""746.62"","""",""0.80%"""
"08/28/2023,""746.62"",""746.62"",""746.70"",""741.19"","""",""0.73%"""
"08/25/2023,""741.19"",""741.19"",""741.31"",""733.06"","""",""1.06%"""
"08/24/2023,""733.41"",""733.41"",""733.60"",""730.40"","""",""0.41%"""
"08/23/2023,""730.40"",""730.40"",""731.25"",""724.41"","""",""0.16%"""
"08/22/2023,""729.22"",""729.22"",""731.30"",""722.91"","""",""-0.06%"""
"08/21/2023,""729.65"",""729.65"",""731.87"",""721.27"","""",""0.27%"""
"08/18/2023,""727.72"",""727.72"",""728.60"",""718.16"","""",""1.33%"""
"08/17/2023,""718.16"",""718.16"",""719.76"",""710.30"","""",""1.11%"""
"08/16/2023,""710.30"",""710.30"",""713.38"",""708.37"","""",""-0.43%"""
"08/15/2023,""713.38"",""713.38"",""714.55"",""708.55"","""",""0.68%"""
"08/14/2023,""708.55"",""708.55"",""708.55"",""698.72"","""",""0.29%"""
"08/11/2023,""706.53"",""706.53"",""706.78"",""704.80"","""",""0.01%"""
"08/10/2023,""706.48"",""706.48"",""707.86"",""704.24"","""",""0.21%"""
"08/09/2023,""705.00"",""705.00"",""706.17"",""704.02"","""",""-0.01%"""
"08/08/2023,""705.09"",""705.09"",""708.87"",""694.84"","""",""-0.18%"""
"08/07/2023,""706.39"",""706.39"",""708.42"",""695.21"","""",""1.61%"""
"08/04/2023,""695.21"",""695.21"",""697.03"",""691.29"","""",""0.57%"""
"08/03/2023,""691.29"",""691.29"",""691.85"",""688.55"","""",""0.40%"""
"08/02/2023,""688.55"",""688.55"",""689.75"",""687.69"","""",""0.03%"""
"08/01/2023,""688.34"",""688.34"",""692.10"",""687.14"","""",""0.17%"""
"07/31/2023,""687.14"",""687.14"",""687.14"",""678.63"","""",""1.12%"""
"07/28/2023,""679.54"",""679.54"",""679.54"",""672.82"","""",""0.26%"""
"07/27/2023,""677.81"",""677.81"",""678.16"",""676.31"","""",""0.03%"""
"07/26/2023,""677.61"",""677.61"",""677.69"",""676.61"","""",""0.06%"""
"07/25/2023,""677.22"",""677.22"",""684.91"",""676.95"","""",""-0.55%"""
"07/24/2023,""680.94"",""680.94"",""683.98"",""680.61"","""",""-0.26%"""
"07/21/2023,""682.70"",""682.70"",""683.04"",""675.64"","""",""0.69%"""
"07/20/2023,""678.05"",""678.05"",""678.05"",""672.01"","""",""0.90%"""
"07/19/2023,""672.01"",""672.01"",""672.01"",""669.03"","""",""0.21%"""
"07/18/2023,""670.59"",""670.59"",""672.76"",""670.55"","""",""-0.22%"""
"07/17/2023,""672.04"",""672.04"",""674.77"",""671.48"","""",""0.01%"""
"07/14/2023,""671.96"",""671.96"",""673.39"",""670.74"","""",""0.01%"""
"07/13/2023,""671.89"",""671.89"",""676.11"",""670.82"","""",""-0.20%"""
"07/12/2023,""673.26"",""673.26"",""674.62"",""670.67"","""",""0.11%"""
"07/11/2023,""672.53"",""672.53"",""673.07"",""669.17"","""",""0.16%"""
"07/10/2023,""671.48"",""671.48"",""674.99"",""671.34"","""",""-0.15%"""
"07/07/2023,""672.49"",""672.49"",""672.93"",""669.48"","""",""0.09%"""
"07/06/2023,""671.91"",""671.91"",""673.88"",""671.91"","""",""-0.27%"""
"07/05/2023,""673.73"",""673.73"",""673.73"",""669.83"","""",""0.38%"""
"07/04/2023,""671.17"",""671.17"",""671.38"",""660.97"","""",""0.36%"""
"07/03/2023,""668.79"",""668.79"",""673.78"",""665.07"","""",""-0.17%"""
"06/30/2023,""669.90"",""669.90"",""672.37"",""667.43"","""",""0.16%"""
"06/29/2023,""668.81"",""668.81"",""671.63"",""667.76"","""",""-0.04%"""
"06/28/2023,""669.07"",""669.07"",""672.25"",""668.78"","""",""-0.16%"""
"06/27/2023,""670.14"",""670.14"",""677.94"",""669.64"","""",""-0.82%"""
"06/26/2023,""675.67"",""675.67"",""678.45"",""675.09"","""",""-0.41%"""
"06/23/2023,""678.45"",""678.45"",""679.19"",""675.16"","""",""0.49%"""
